partner_A	partner_B	ligand_genes	receptor_genes	classification	directionality	id_cp_interaction
758	1169	COL4A6	ADGRG6	Adhesion by Collagen/Integrin	Adhesion-Adhesion	CPI-SS0BBF93C62
1249	1169	LAMA2	ADGRG6		Ligand-Receptor	CPI-SS0335C4DDE
1173	1169	PRNP	ADGRG6		Ligand-Receptor	CPI-SS0087B834D
729	763	DSC1	DSG2	Adhesion by Desmosome	Adhesion-Adhesion	CPI-SS08B94BEB2
710	763	DSC2	DSG2	Adhesion by Desmosome	Adhesion-Adhesion	CPI-SS06D13FCD3
709	729	DSG1	DSC1	Adhesion by Desmosome	Adhesion-Adhesion	CPI-SS062307CFE
709	710	DSG1	DSC2	Adhesion by Desmosome	Adhesion-Adhesion	CPI-SS036437279
709	769	DSG1	DSC3	Adhesion by Desmosome	Adhesion-Adhesion	CPI-SS09000F32A
763	769	DSG2	DSC3	Adhesion by Desmosome	Adhesion-Adhesion	CPI-SS0B6F0C894
1087	1088	DAG1	CELSR3		Adhesion-Adhesion	CPI-SS09491FBF4
1087	1277	DAG1	NRXN3		Ligand-Receptor	CPI-SS0D9DE7106
1188	1277	CLSTN1	NRXN3	Signaling by Calsyntenin	Ligand-Receptor	CPI-SS0DD3733E8
