interaction_key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,sum_across_punches
endothelial cell_endothelial cell_JAG1_NOTCH3,0,51,27,53,32,27,41,0,18,27,0,0,0,27,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,56,38,50,35,17,0,0,0,0,0,0,37,0,0,0,0,0,35,0,42,0,0,45,44,46,40,0,0,0,0,28,0,0,0,0,41,879
endothelial cell_endothelial cell_JAM2_JAM3,0,51,27,53,32,27,41,0,0,27,0,28,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,31,45,0,38,50,35,0,0,0,0,0,0,0,0,34,31,21,19,0,35,0,42,0,30,0,44,0,40,0,0,0,26,0,0,0,0,0,41,875
pericyte_macrophage_COL4A1_CD44,0,21,0,22,11,14,17,6,5,13,16,10,10,13,8,6,6,0,6,14,8,6,12,9,12,10,3,17,17,29,29,25,26,13,23,0,2,6,5,7,22,24,20,17,20,13,21,6,25,0,11,17,21,26,21,5,10,4,5,32,14,20,12,24,26,873
pericyte_macrophage_COL4A2_CD44,0,21,0,22,11,14,17,6,5,13,16,10,10,13,8,6,6,0,6,14,8,6,12,9,12,10,3,17,17,29,29,25,26,13,23,0,2,6,5,7,22,24,20,17,20,13,21,6,25,0,11,17,21,26,21,5,10,4,5,32,14,20,12,24,26,873
endothelial cell_pericyte_CD99_CD99,9,37,0,42,0,0,37,0,0,30,0,0,16,0,0,0,0,0,0,0,0,0,18,9,12,8,0,26,33,45,31,38,0,19,0,0,0,0,0,0,0,39,32,0,0,0,0,0,36,15,28,33,38,40,33,5,15,0,21,27,22,26,19,26,0,865
endothelial cell_muscle cell_JAG1_NOTCH2,0,28,0,33,16,14,30,21,10,19,13,10,11,11,7,5,6,0,4,15,7,0,0,9,0,0,0,21,25,33,25,27,23,12,11,0,0,5,3,14,20,27,21,20,19,10,26,0,0,13,16,28,29,28,23,0,8,7,8,18,12,0,11,16,36,864
endothelial cell_Tumor_MPZL1_MPZL1,0,35,0,32,12,0,27,25,0,29,29,15,13,13,0,0,0,0,0,13,0,0,0,0,0,0,0,36,39,31,25,31,34,9,0,0,0,0,0,0,17,21,20,0,0,18,36,0,0,0,31,30,31,31,32,0,0,0,0,32,22,15,16,20,43,863
endothelial cell_pericyte_PTPRM_PTPRM,0,37,0,42,24,18,37,22,0,30,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4,26,33,45,31,38,30,0,0,0,0,0,0,0,31,39,0,0,0,0,31,0,36,0,0,0,38,40,33,0,0,0,21,27,22,26,19,26,37,861
endothelial cell_muscle cell_PDGFB_PDGFRB,0,28,0,33,16,14,30,21,10,19,13,0,0,11,0,0,0,0,0,15,7,3,10,9,5,3,0,21,25,33,25,27,23,12,11,0,0,5,0,14,20,27,21,20,19,10,26,0,15,13,16,28,29,28,23,0,0,7,8,18,12,9,11,16,36,855
endothelial cell_pericyte_JAM3_JAM3,0,37,0,42,24,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,45,31,38,30,0,0,0,0,0,0,0,31,39,32,21,21,0,31,0,36,0,28,33,38,40,33,0,0,0,21,0,0,26,0,26,37,854
