ligand,receptor,pathway,signaling_type
HSD3B1,CATSPER2_CATSPERB,nan,Secreted Signaling
HSD3B1,CATSPER2_CATSPERD,nan,Secreted Signaling
HSD3B1,CATSPER3_CATSPERB,nan,Secreted Signaling
HSD3B1,CATSPER3_CATSPERD,nan,Secreted Signaling
HSD3B1,CATSPER4_CATSPERB,nan,Secreted Signaling
HSD3B1,CATSPER4_CATSPERD,nan,Secreted Signaling
CEL,RORA,nan,Secreted Signaling
CEL,RORC,nan,Secreted Signaling
DHCR24,RORA,nan,Secreted Signaling
DHCR24,RORC,nan,Secreted Signaling
DHCR7,RORA,nan,Secreted Signaling
DHCR7,RORC,nan,Secreted Signaling
LIPA,RORA,nan,Secreted Signaling
LIPA,RORC,nan,Secreted Signaling
CYP11B1,NR3C1,nan,Secreted Signaling
CYP11B1,NR3C2,nan,Secreted Signaling
KLRF2,CLEC2A,nan,Cell-Cell Contact
SULT1E1,PPARG,nan,Secreted Signaling
SULT1E1,PPARA,nan,Secreted Signaling
SULT2A1,PPARG,nan,Secreted Signaling
SULT2A1,PPARA,nan,Secreted Signaling
SULT1A1,PPARG,nan,Secreted Signaling
SULT1A1,PPARA,nan,Secreted Signaling
UBASH3B,NR1I2,nan,Secreted Signaling
UBASH3B,ESR1,nan,Secreted Signaling
UBASH3B,PPARA,nan,Secreted Signaling
DHCR7,NR1H2,nan,Secreted Signaling
DHCR7,NR1H3,nan,Secreted Signaling
CYP21A2,NR3C2,nan,Secreted Signaling
SRD5A1,AR,nan,Secreted Signaling
SRD5A2,AR,nan,Secreted Signaling
SRD5A3,AR,nan,Secreted Signaling
PNMT,ADRB2,nan,Secreted Signaling
PNMT,ADRB1,nan,Secreted Signaling
PNMT,ADRA2A,nan,Secreted Signaling
PNMT,ADRB3,nan,Secreted Signaling
PNMT,ADRA2B,nan,Secreted Signaling
PNMT,ADRA2C,nan,Secreted Signaling
PNMT,ADRA1D,nan,Secreted Signaling
PNMT,ADRA1A,nan,Secreted Signaling
PNMT,ADRA1B,nan,Secreted Signaling
CYP19A1,NR1I2,nan,Secreted Signaling
CYP19A1,ESR1,nan,Secreted Signaling
CYP19A1,ESR2,nan,Secreted Signaling
CYP19A1,GPER1,nan,Secreted Signaling
HSD17B1,NR1I2,nan,Secreted Signaling
HSD17B1,ESR1,nan,Secreted Signaling
HSD17B1,ESR2,nan,Secreted Signaling
HSD17B1,GPER1,nan,Secreted Signaling
WNT1,RYK_FZD8,nan,Secreted Signaling
WNT5A,RYK_FZD8,nan,Secreted Signaling
WNT3,RYK_FZD8,nan,Secreted Signaling
WNT3A,RYK_FZD8,nan,Secreted Signaling
VEGFA,FLT1_KDR,nan,Secreted Signaling
PGF,FLT1_KDR,nan,Secreted Signaling
VEGFB,FLT1_KDR,nan,Secreted Signaling
ALB,B2M_FCGRT,nan,Secreted Signaling
CGA_FSHB,FSHR,nan,Secreted Signaling
GAL,GALR1_GPR151,nan,Secreted Signaling
GALP,GALR1_GPR151,nan,Secreted Signaling
GAL,GALR2_GPR151,nan,Secreted Signaling
SPX,GALR2_GPR151,nan,Secreted Signaling
GALP,GALR2_GPR151,nan,Secreted Signaling
GAL,GALR3_GPR151,nan,Secreted Signaling
SPX,GALR3_GPR151,nan,Secreted Signaling
GALP,GALR3_GPR151,nan,Secreted Signaling
CSF2,CSF2RB_CSF2RA,nan,Secreted Signaling
F2,GP1BA_GP1BB,nan,Secreted Signaling
VWF,GP1BA_GP1BB,nan,Secreted Signaling
HLA-A,KIR3DL1,nan,Cell-Cell Contact
HLA-B,KIR3DL2,nan,Cell-Cell Contact
HLA-C,KIR2DL1,nan,Cell-Cell Contact
HLA-C,KIR2DL3,nan,Cell-Cell Contact
FAM3C,HLA-C,nan,Secreted Signaling
GAL,HLA-DPA1,nan,Secreted Signaling
TNFSF9,HLA-DPA1,nan,Secreted Signaling
NRG1,HLA-DPB1,nan,Secreted Signaling
TNFSF13B,HLA-DPB1,nan,Secreted Signaling
PRL,HLA-DQB2,nan,Secreted Signaling
OGN,HLA-DRB1,nan,Secreted Signaling
HDC,HRH2,nan,Secreted Signaling
HDC,HRH1,nan,Secreted Signaling
HDC,HRH4,nan,Secreted Signaling
HDC,HRH3,nan,Secreted Signaling
IFNA1,CR2,nan,Secreted Signaling
IFNA1,IFNAR1_IFNAR2,nan,Secreted Signaling
IGF1,IGF1R_GPC3,nan,Secreted Signaling
IL10,IL10RA_IL10RB,nan,Secreted Signaling
IL11,IL11RA_IL6ST,nan,Secreted Signaling
IL12A_IL12B,IL12RB1_IL12RB2,nan,Secreted Signaling
IL4,IL13RA1_IL4R,nan,Secreted Signaling
IL13,IL13RA1_IL4R,nan,Secreted Signaling
IL15,IL15RA_IL2RB,nan,Secreted Signaling
IL17A_IL17F,IL17RA_IL17RC,nan,Secreted Signaling
IL25,IL17RA_IL17RB,nan,Secreted Signaling
IL17F,IL17RA_IL17RC,nan,Secreted Signaling
IL17C,IL17RA_IL17RE,nan,Secreted Signaling
IL18,IL18R1_IL18RAP,nan,Secreted Signaling
IL1A,IL1R1_IL1RAP,nan,Secreted Signaling
IL1B,IL1R1_IL1RAP,nan,Secreted Signaling
IL1RN,IL1R1_IL1RAP,nan,Secreted Signaling
IL1A,IL1R2_IL1RAP,nan,Secreted Signaling
IL1B,IL1R2_IL1RAP,nan,Secreted Signaling
