ligand,receptor,classification,directionality,id_cp_interaction,signaling_type
COL8A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC068FFC547,Cell-Cell Contact
COL8A2,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0FCB8DFBB,Cell-Cell Contact
COL9A1,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC050CC3A3F,Cell-Cell Contact
COL9A2,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0A210DC1F,Cell-Cell Contact
COL9A3,ITGA10_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0FD500AF3,Cell-Cell Contact
FN1,ITGA10_ITGB1,Adhesion by Fibronectin,Adhesion-Adhesion,CPI-SC0C91660AB,Secreted Signaling
COL10A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0519DE925,Cell-Cell Contact
COL11A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC06F3DDF90,Cell-Cell Contact
COL11A2,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC06DCE672A,Cell-Cell Contact
COL12A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0A3722F1F,Cell-Cell Contact
COL13A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC093DFA335,Cell-Cell Contact
COL14A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC092A2325E,Cell-Cell Contact
COL15A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0BCE0B954,Cell-Cell Contact
COL16A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC01633DC81,Cell-Cell Contact
COL17A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0D3C68BD6,Cell-Cell Contact
COL18A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0755F1632,Cell-Cell Contact
COL19A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E09C8768,Cell-Cell Contact
COL1A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0AD2341AF,Cell-Cell Contact
COL1A2,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC015ECCD97,Cell-Cell Contact
COL20A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0BB8BF2C5,Cell-Cell Contact
COL21A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0C1E494D6,Cell-Cell Contact
COL22A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC015ED6B05,Cell-Cell Contact
COL24A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0B09B811A,Cell-Cell Contact
COL26A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC08885876E,Cell-Cell Contact
COL27A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0FC6454F5,Cell-Cell Contact
COL28A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E40282DA,Cell-Cell Contact
COL2A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0A5E87289,Cell-Cell Contact
COL3A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0C061DC28,Cell-Cell Contact
COL4A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0C351F7DF,Cell-Cell Contact
COL4A2,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC09AE93F66,Cell-Cell Contact
COL4A3,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC08F17FB3E,Cell-Cell Contact
COL4A4,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0FAC9844A,Cell-Cell Contact
COL4A5,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC044B5BE16,Cell-Cell Contact
COL4A6,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC01539071B,Cell-Cell Contact
COL5A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC08821B0D2,Cell-Cell Contact
COL5A2,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC075489ADB,Cell-Cell Contact
COL5A3,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0D0BFC9F7,Cell-Cell Contact
COL6A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0FB1817EE,Cell-Cell Contact
COL6A2,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0C5B4E222,Cell-Cell Contact
COL6A3,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC044916391,Cell-Cell Contact
COL6A5,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E453F338,Cell-Cell Contact
COL6A6,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0EDDBD0FB,Cell-Cell Contact
COL7A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC037038602,Cell-Cell Contact
COL8A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC04FF0CDA1,Cell-Cell Contact
COL8A2,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0CC30CEC0,Cell-Cell Contact
COL9A1,ITGA11_ITGB1,Adhesion by Collagen/Integrin,Adhesion-Adhesion,CPI-SC0E8C3A996,Cell-Cell Contact
